marka,model,rok_produkcji,rodzaj_paliwa,pojemnosc_silnika,data_pierwszej_rejestracji,wojewodztwo,source
TOYOTA,PROACE CITY,2022,OLEJ NAPĘDOWY,,2023-01-02,dolnośląskie,CEPiK
SCHMITZ CARGOBULL,---,2022,,,2023-01-02,dolnośląskie,CEPiK
SCHMITZ CARGOBULL,---,2022,,,2023-01-02,dolnośląskie,CEPiK
CITROEN,C3,2003,BENZYNA,,2015-07-09,dolnośląskie,CEPiK
MITSUBISHI,LANCER,2009,BENZYNA,,2014-10-22,dolnośląskie,CEPiK
MERCEDES-BENZ,SPRINTER 319 CDI,2010,OLEJ NAPĘDOWY,,2018-10-18,dolnośląskie,CEPiK
PEUGEOT,307,2006,OLEJ NAPĘDOWY,,2014-11-24,dolnośląskie,CEPiK
CITROEN,C5,2010,OLEJ NAPĘDOWY,,2015-05-11,dolnośląskie,CEPiK
SKODA,OCTAVIA 2.0 TDI,2004,OLEJ NAPĘDOWY,,2004-07-02,dolnośląskie,CEPiK
SKODA,FABIA,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
VOLKSWAGEN,GOLF 1.9 TDI,2002,OLEJ NAPĘDOWY,,2002-12-10,dolnośląskie,CEPiK
BMW,X7 M60I XDRIVE,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
MERCEDES-BENZ,GLC 200 D 4MATIC,2019,OLEJ NAPĘDOWY,,2020-01-16,dolnośląskie,CEPiK
VOLKSWAGEN,GOLF,1999,BENZYNA,,2017-09-18,dolnośląskie,CEPiK
ISUZU,---,2022,OLEJ NAPĘDOWY,,2023-01-02,dolnośląskie,CEPiK
TOYOTA,RAV4,1997,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
TOYOTA,PROACE CITY,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
AUDI,A3 LIMOUSINE,2017,BENZYNA,,2017-04-03,dolnośląskie,CEPiK
FORD,S-MAX,2009,OLEJ NAPĘDOWY,,2021-10-07,dolnośląskie,CEPiK
INFINITI,Q50,2014,OLEJ NAPĘDOWY,,2018-08-21,dolnośląskie,CEPiK
RENAULT,KANGOO,2006,BENZYNA,,2018-05-14,dolnośląskie,CEPiK
SKODA,OCTAVIA,2019,OLEJ NAPĘDOWY,,2019-10-23,dolnośląskie,CEPiK
MAN/WECON,TGX,2018,OLEJ NAPĘDOWY,,2018-06-20,dolnośląskie,CEPiK
SUZUKI,SX4,2017,BENZYNA,,2017-12-06,dolnośląskie,CEPiK
FORD,FOCUS,2006,BENZYNA,,2006-05-17,dolnośląskie,CEPiK
SKODA,FABIA,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
SKODA,FABIA,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
SKODA,FABIA,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
VOLKSWAGEN,GOLF,2000,BENZYNA,,2016-12-28,dolnośląskie,CEPiK
AUDI,Q5,2019,OLEJ NAPĘDOWY,,2020-01-14,dolnośląskie,CEPiK
SKODA,OCTAVIA,2019,OLEJ NAPĘDOWY,,2019-10-23,dolnośląskie,CEPiK
PORSCHE,MACAN,2017,BENZYNA,,2017-11-24,dolnośląskie,CEPiK
FORD,MONDEO,2015,OLEJ NAPĘDOWY,,2015-11-23,dolnośląskie,CEPiK
AUDI,Q7,2018,OLEJ NAPĘDOWY,,2018-12-19,dolnośląskie,CEPiK
SKODA,OCTAVIA,2017,OLEJ NAPĘDOWY,,2018-01-22,dolnośląskie,CEPiK
SKODA,KODIAQ,2019,BENZYNA,,2020-03-05,dolnośląskie,CEPiK
SEAT,IBIZA,2017,BENZYNA,,2018-01-18,dolnośląskie,CEPiK
